cluster_id,cluster_name,total_skill_in_cluster,associated_job_count,top_skills
CLUSTER_018,Cloud Platforms,10,61,"AWS, Alibaba Cloud, Azure, Cloud Run, EC2"
CLUSTER_019,Cloud Data Services,26,56,"AWS AI/ML services, AWS Bedrock, AWS Glue, AWS SageMaker, AlloyDB"
CLUSTER_020,DevOps and Cloud Infrastructure,27,56,"Ansible, Azure DevOps, Azure Networking, Azure Networking Fundamentals, Backup and Disaster Recovery"
CLUSTER_013,Databases and Querying,10,54,"Database performance tuning, MS SQL, MySQL, Oracle RDBMS, PostgreSQL"
CLUSTER_030,Other Technical Skills,42,50,"Adobe AEP XDM schemas, CoPilot, Cognos Data Manager, Cognos Framework Manager, Copilot Studio"
CLUSTER_002,Generative AI,18,33,"Anthropic, Anthropic Claude API, Dialogflow, Document AI, Gemini"
CLUSTER_021,BI and Visualization,7,30,"Google Analytics, Google Sheets, Looker Studio, Microsoft Power BI, Power BI"
CLUSTER_003,RAG and Vector Search,15,27,"FAISS, Pinecone, RAG, RAG architecture, RAG architectures"
CLUSTER_009,Programming Languages,9,26,"C, C#, C++, Go, NumPy"
CLUSTER_015,Data Engineering Pipelines,12,25,"Data Pipelines, Data pipeline automation, Data pipeline design, Data pipeline implementation, Data pipeline support"
CLUSTER_017,Big Data Processing,12,23,"Apache Spark, Databricks, Dataflow, Distributed computing, EMR"
CLUSTER_014,Data Warehousing,7,23,"Data Analysis, Data Analytics, Data storage optimization, DataMarts, Excel"
CLUSTER_010,Web Development,10,20,"CodeIgniter, Django, Flask, NestJS, Next.js"
CLUSTER_011,API Development,11,16,"API integration, APIs, External API design, FastAPI, MCP integrations"
CLUSTER_027,Software Engineering Tools,7,14,"Git, GitHub, Microservice-based architecture, NUnit, SonarCloud"
CLUSTER_006,Machine Learning,5,13,"Machine Learning Algorithms, Machine learning, Predictive Modeling, Random Forests, Supervised ML techniques"
CLUSTER_008,MLOps and Deployment,7,11,"Deployment, GCP Vertex AI pipelines, ML platforms, MLOps, MLOps/LLMOps"
CLUSTER_023,Cybersecurity,9,10,"Access control, Data protection, Data security best practices, DevSecOps Processes, EDR"
CLUSTER_016,Workflow Orchestration,3,8,"Airflow, Apache Airflow, Orchestration"
CLUSTER_001,Agentic AI,3,6,"LangChain, multi-agent systems, sub-agents"
CLUSTER_005,Computer Vision,6,6,"Computer Vision, DeepStream, Detectron2, MMDetection, OpenCV"
CLUSTER_004,NLP and Text Analytics,6,6,"Document analysis, NLP, NLTK, Speech-to-Text, Text-to-Speech"
CLUSTER_007,Deep Learning,3,5,"Deep Learning, TensorFlow, TensorRT"
CLUSTER_029,Operating Systems and Scripting,2,5,"Linux, Linux administration"
CLUSTER_022,Statistics and Experimentation,3,5,"A/B testing, Demand Modeling, Statistical modeling"
CLUSTER_026,Automation and Productivity,2,3,"Power Automate, Scripting and automation"
CLUSTER_012,Mobile Development,3,3,"Firebase, Firebase Hosting, Firestore"
CLUSTER_025,Enterprise Platforms,2,2,"Finacle, Fiserv"
CLUSTER_028,Data Governance and Quality,1,1,Data Governance
CLUSTER_024,Information Systems,1,1,eCommerce systems
